	x	y	name
0	-0.13326749376594346	-0.25516664448703585	!ShAdow!
1	0.03961360833274058	-0.17133400279566074	$APER
2	-0.3990911462751977	-0.11575358465357491	1000 y.e.
3	0.11715659195133482	-0.3055382944898167	1000 Слов
4	0.3911644179221946	0.0017038031231438762	13FRONT
5	0.4399252426810267	-0.0626011429373863	1 Kla$
6	-0.13729775840388878	0.03848021947727562	228
7	0.058423858918627954	0.45774301931451494	2H Company
8	0.5090350896313504	-0.4690774986553256	3NT
9	-0.07769139269073325	-0.06157927286231443	4'K
10	-0.18757619503132722	-0.43542290829358954	43 Градуса
11	0.3364476545332859	-0.20893255238774727	4пыль
12	0.5159159043225816	0.33607155105128245	56 размер
13	-0.06752240357654375	-0.0950643412956318	5 Плюх
14	0.4884671558687212	0.4730367373174044	6-ой отряд и Главные Герои
15	0.1444012708368404	-0.6094698120253779	63 Регион
16	-0.09381954518797568	-0.42055327692799555	9 Грамм
17	0.07580243488171445	-0.3213365832296024	Ahimas
18	-0.41486864720379074	0.16061661055065204	AK-47
19	-0.11996174530944216	0.16454428755076206	AlexJackpot
20	-0.2908047521082057	-0.19040151275608713	AL Hammer
21	-0.5523277660991511	-0.05729478114699264	Al Solo
22	-0.07224761586161924	-0.00891217255472276	Amlaut
23	-0.03271950051891654	0.34587281664930986	Anacondaz
24	-0.44554755461635753	-0.1292824256777491	Ar-SiDE
25	-0.31206467525058407	0.5223421661932255	Axxy
26	-0.05356338711286996	0.051668323254060636	AzonE
27	0.04647371783274435	0.37979569242107436	Aztecs
28	-0.10506063083542944	0.5134461824474396	B-Laba
29	-0.188836534400967	-0.5970981363381709	B-Noble
30	-0.3156732172625165	0.3514604963415209	B.b. [TERRA INCOGNITA]
31	-0.319661180601953	0.06954995410514969	Babangida
32	-0.41036508905675617	0.27565292138675707	Bad Game
33	0.16410646318784153	0.024714832261382505	Bahh Tee
34	0.4250820291708255	-0.6551865024621804	Basic
35	-0.3663147346332101	-0.2312420029474385	Beat Of Life
36	0.6611437977988607	0.22459846233697398	Beny Krik
37	0.24764507815396863	0.28088607707540075	Bess
38	-0.5969718936346611	-0.09839734505390482	Big Black Boots
39	0.06639665289857095	-0.7579953547842014	BrainDraiN
40	0.712061224236612	-0.261407768400393	Buhar Jerreau
41	0.12770145337920702	0.5367172366882768	C-Pack
42	-0.2551499059106443	0.3775094695028438	C4
43	-0.22289136901419554	-0.3628906199403483	CENTR
44	0.030373930364583787	-0.0138873072796022	Check
45	0.22859941421418237	0.37195782428942664	Chooze
46	-0.32243646145313987	-0.5577799310701671	Counter Attack
47	0.12526215833500137	-0.274658854994936	CуиСайд
48	0.00864221317900654	0.1936972166928619	D'ARTY
49	0.29085487941551286	-0.40354439047581325	D-MAN 55
50	0.16847437546876443	-0.17468428396445007	D.A.P.A.
51	0.2911808711374051	-0.052074712767837567	D.L.S
52	-0.2854546452211664	-0.00743092672102327	D.Masta
53	0.3860916326741515	0.482040393339378	D1MASS
54	-0.26478901530894244	0.2719614742740463	DANDY
55	-0.02179833261966968	0.4058279322670665	Da 108
56	0.25930861803641636	0.19827301272723685	Da B.O.M.B.
57	0.3316038884431875	-0.1291327749426694	Da Gudda Jazz
58	0.38608375507895176	-0.577463835575603	Da Gudda Prod.
59	0.03928198299679116	0.01047476262438471	Da St
60	0.11421940186808872	-0.5121503623847434	Dead Poets
61	0.09385271935904212	0.04798104167865942	DeShawn a.k.a. Je
62	0.12801348806219073	0.0685366472211643	Dessar
63	0.006978524523977625	-0.3696537943885157	De F. (Дефицит)
64	0.3757947414714872	0.021860142158124162	De Facto
65	-0.3229605804962011	-0.015610179030768357	Dime
66	0.09073899845549499	0.7189608314480328	Dinastia S. L.
67	0.06511873461863206	-0.07716899167856964	Dino MC 47
68	0.07499276614880943	-0.6945324976925757	DIUv[Kadastra_pro]
69	-0.083899389682491	0.04866664616291945	Djang
70	0.47204210569531063	0.574780446086295	Dobermann
71	0.44636020485636035	-0.17015517751313033	Dogma KZ
72	0.0472358355586357	0.0646817604269231	DOm1no (FreshTime)
73	-0.36595971316411274	-0.2685164851921573	DoN-A
74	0.23972139343601567	-0.4817010832387558	DotsFam
75	0.5984324793332215	0.18396333908387805	Double Magnum
76	-0.08989681362010185	0.08512890257094602	DragN
77	0.312902946498029	0.1853046675412356	DRedd
78	0.479103500877921	0.2631366094322398	Dza-Dze
79	0.3083509316560254	0.24149097123080285	Dzham
80	0.23707864147423582	-0.6985386747656964	Dжентельмены Podachi
81	0.11814241426042102	0.15225291460075355	DИ'АСПОРА
82	-0.4070842961640229	-0.2252069723114379	Earl D.
83	-0.22921530362144765	0.3889251433284052	Eighty Eight
84	0.5946731580970606	0.259975427572209	EK-Playaz
85	-0.7125945949641782	0.0751794682582182	F.Y.P.M.
86	0.4981031136709625	0.08892869520431297	Face2Face
87	-0.10705530991274978	-0.2212730215704079	Flat
88	0.35032680260216364	-0.18601628075342494	Fonetic (LISSEN2)
89	-0.5020229322941727	-0.5845015904183759	Franky Freak
90	0.6097879848441424	-0.19675760672005457	Franky Freak ft. Twin Vi
91	-0.6251179588962846	0.4036159432648167	Fresh Boy
92	0.051753096417764155	0.1316378749439214	Gaspar
93	0.2707823625913558	-0.454302036136955	GilliA
94	-0.06579985512720146	0.16266212846392386	GineX
95	-0.17045003281190188	-0.0705107731376529	Good Hash Production
96	-0.2181668651690454	0.18486754600508357	Guf
97	-0.019461007562263793	0.07780117900069813	GuntanoMo
98	-0.11155955373511607	0.08226764874368375	h1GH
99	0.16526734875774388	-0.022031893680079573	Hann
